"Sample_ID","uniquely_mapped_total","FemaleID","Date","RIN","Postcop","swelling","male_presence","cycle","phase","phasecode","SampleType","MaleID","DyadID","MHCI_allele_comp","MHCII_allele_comp","MHCI_supertype_comp","MHCII_supertype_comp","Male_stMLH","Male_MHCI_allele","Male_MHCII_allele","Male_MHCI_supertype","Male_MHCII_supertype","KINSHIP"
"305",4566223,"Sottise","8/15/19",8.2,"N","FD","With Male",2,"post-fertile","PostF","Vaginal","Alf",8,0.3125,0,0.8,0.166666666666667,0.986394341,9,7,8,5,-0.176989
"306",21696247,"Salade","8/22/19",5.7,"N","MN","With Male",2,"non-fertile","NonF","Vaginal","Alf",9,0.1176,0.1667,0.5,0.6,0.986394341,9,7,8,5,-0.100036
"31",6287930,"Vertige","1/15/19",6.1,"N","LGS","With Male",2,"pre-fertile","PreF","Vaginal","Momo",2,0.4,0.4,0.666666666666667,0.833333333333333,1.038536994,10,8,6,5,0.237535
"33",15680710,"Vertige","1/16/19",4.4,"Y","LGS","With Male",2,"fertile","F","Vaginal","Momo",2,0.4,0.4,0.666666666666667,0.833333333333333,1.038536994,10,8,6,5,0.237535
"401",10982994,"Momo","3/18/19",1.6,"",NA,NA,NA,NA,NA,"Semen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"402",10166053,"Momo","3/18/19",4.8,"",NA,NA,NA,NA,NA,"Semen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",17712581,"Vertige","1/23/19",4.9,"Y","DGS","With Male",2,"post-fertile","PostF","Vaginal","Momo",2,0.4,0.4,0.666666666666667,0.833333333333333,1.038536994,10,8,6,5,0.237535
"411A",10810661,"Rodolphe","5/24/19",5,"",NA,NA,NA,NA,NA,"Semen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412",12917081,"Rodolphe","5/24/19",6.5,"",NA,NA,NA,NA,NA,"Semen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",5119307,"Vertige","1/25/19",2.1,"N","FD","With Male",2,"post-fertile","PostF","Vaginal","Momo",2,0.4,0.4,0.666666666666667,0.833333333333333,1.038536994,10,8,6,5,0.237535
"421",10422688,"Auguste","7/5/19",2.2,"",NA,NA,NA,NA,NA,"Semen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"422",9535591,"Auguste","7/5/19",2.4,"",NA,NA,NA,NA,NA,"Semen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431",12161886,"Alf","7/17/19",3.8,"",NA,NA,NA,NA,NA,"Semen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432",10620508,"Alf","7/17/19",4.4,"",NA,NA,NA,NA,NA,"Semen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",10364561,"Barbie","1/31/19",4.2,"N","LGS","With Male",2,"pre-fertile","PreF","Vaginal","Momo",1,0.2941,0,0.666666666666667,0.285714285714286,1.038536994,10,8,6,5,-0.0928548
"50",9947973,"Barbie","2/7/19",5.6,"N","DGS","With Male",2,"post-fertile","PostF","Vaginal","Momo",1,0.2941,0,0.666666666666667,0.285714285714286,1.038536994,10,8,6,5,-0.0928548
"51",19229595,"Barbie","2/11/19",2.1,"N","DGS","With Male",2,"post-fertile","PostF","Vaginal","Momo",1,0.2941,0,0.666666666666667,0.285714285714286,1.038536994,10,8,6,5,-0.0928548
"53",21352653,"Barbie","2/19/19",4.2,"N","FD","With Male",2,"non-fertile","NonF","Vaginal","Momo",1,0.2941,0,0.666666666666667,0.285714285714286,1.038536994,10,8,6,5,-0.0928548
"56",5622279,"Solene","2/23/19",3.3,"N","DGS","No Male",0,"fertile","F","Vaginal","Rodolphe",4,0.1111,0,0.571428571428571,0.375,0.878142928,10,7,5,6,-0.102528
"57",7289348,"Barbie","2/25/19",6.3,"N","MGS","With Male",3,"pre-fertile","PreF","Vaginal","Momo",1,0.2941,0,0.666666666666667,0.285714285714286,1.038536994,10,8,6,5,-0.0928548
"61",6426814,"Solene","3/1/19",4.6,"N","FD","No Male",0,"post-fertile","PostF","Vaginal","Rodolphe",4,0.1111,0,0.571428571428571,0.375,0.878142928,10,7,5,6,-0.102528
"64",6496009,"Solene","3/3/19",2.9,"N","FD","No Male",0,"non-fertile","NonF","Vaginal","Rodolphe",4,0.1111,0,0.571428571428571,0.375,0.878142928,10,7,5,6,-0.102528
"67",6106973,"Barbie","3/5/19",3.4,"N","DGS","With Male",3,"fertile","F","Vaginal","Momo",1,0.2941,0,0.666666666666667,0.285714285714286,1.038536994,10,8,6,5,-0.0928548
"76",6766415,"Suzon","3/9/19",6.9,"N","LGS","No Male",0,"fertile","F","Vaginal","Rodolphe",5,0.2778,0,0.4,0.375,0.878142928,10,7,5,6,-0.183528
"80",15115243,"Barbie","3/12/19",2.1,"N","FD","With Male",3,"non-fertile","NonF","Vaginal","Momo",1,0.2941,0,0.666666666666667,0.285714285714286,1.038536994,10,8,6,5,-0.0928548
"81",13633859,"Solene","3/14/19",4.8,"N","FD","No Male",1,"pre-fertile","PreF","Vaginal","Rodolphe",4,0.1111,0,0.571428571428571,0.375,0.878142928,10,7,5,6,-0.102528
"82",4371189,"Suzon","3/14/19",7.5,"N","FD","No Male",0,"post-fertile","PostF","Vaginal","Rodolphe",5,0.2778,0,0.4,0.375,0.878142928,10,7,5,6,-0.183528
"83",15778912,"Suzon","3/16/19",4.4,"N","FD","No Male",0,"non-fertile","NonF","Vaginal","Rodolphe",5,0.2778,0,0.4,0.375,0.878142928,10,7,5,6,-0.183528
"89",6931769,"Solene","3/19/19",3.9,"N","LGS","With Male",1,"fertile","F","Vaginal","Rodolphe",4,0.1111,0,0.571428571428571,0.375,0.878142928,10,7,5,6,-0.102528
"9",11557449,"Vertige","12/21/18",5.8,"N","FD","No Male",1,"post-fertile","PostF","Vaginal","Momo",2,0.4,0.4,0.666666666666667,0.833333333333333,1.038536994,10,8,6,5,0.237535
"93",7004284,"Solene","3/25/19",6.3,"N","DGS","With Male",1,"post-fertile","PostF","Vaginal","Rodolphe",4,0.1111,0,0.571428571428571,0.375,0.878142928,10,7,5,6,-0.102528
"98",7194887,"Solene","4/3/19",3.1,"N","FD","With Male",1,"non-fertile","NonF","Vaginal","Rodolphe",4,0.1111,0,0.571428571428571,0.375,0.878142928,10,7,5,6,-0.102528
